market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2024-12-30T00:00:00,2024-12-30T09:00:00,139831000.0,140680000.0,135971000.0,137892000.0,1735603199382,520848698110.80096,3767.66978148,139735000.0,-1843000.0,-0.0131892511
KRW-BTC,2024-12-29T00:00:00,2024-12-29T09:00:00,142306000.0,142380000.0,138600000.0,139735000.0,1735516799943,306515266961.3944,2180.40637674,142302000.0,-2567000.0,-0.0180390999
KRW-BTC,2024-12-28T00:00:00,2024-12-28T09:00:00,142107000.0,143000000.0,141487000.0,142302000.0,1735430399613,186348569009.08533,1311.56387337,142111000.0,191000.0,0.0013440198
KRW-BTC,2024-12-27T00:00:00,2024-12-27T09:00:00,144016000.0,146117000.0,141466000.0,142111000.0,1735343999444,464668960489.2536,3231.26328398,144076000.0,-1965000.0,-0.0136386352
KRW-BTC,2024-12-26T00:00:00,2024-12-26T09:00:00,148216000.0,149000000.0,143175000.0,144076000.0,1735257600013,499177709089.0282,3432.78442974,148081000.0,-4005000.0,-0.0270460086
KRW-BTC,2024-12-25T00:00:00,2024-12-25T09:00:00,146832000.0,148566000.0,145395000.0,148081000.0,1735171199616,428212289354.54877,2911.45446585,146831000.0,1250000.0,0.0085131886
KRW-BTC,2024-12-24T00:00:00,2024-12-24T09:00:00,142901000.0,148148000.0,141000000.0,146831000.0,1735084799762,626598586872.3685,4333.3309919,142901000.0,3930000.0,0.027501557
KRW-BTC,2024-12-23T00:00:00,2024-12-23T09:00:00,144802000.0,146200000.0,140487000.0,142901000.0,1734998399512,703151196031.0725,4913.29053371,144800000.0,-1899000.0,-0.0131146409
KRW-BTC,2024-12-22T00:00:00,2024-12-22T09:00:00,147836000.0,147950000.0,143850000.0,144800000.0,1734911999828,379824698691.60583,2605.0749353,147830000.0,-3030000.0,-0.0204965163
KRW-BTC,2024-12-21T00:00:00,2024-12-21T09:00:00,148138000.0,149700000.0,145249000.0,147830000.0,1734825599886,548294648910.75867,3714.24805316,148138000.0,-308000.0,-0.0020791424
KRW-BTC,2024-12-20T00:00:00,2024-12-20T09:00:00,147474000.0,148460000.0,139800000.0,148138000.0,1734739199969,1670193715564.6172,11567.34620544,147474000.0,664000.0,0.0045024886
KRW-BTC,2024-12-19T00:00:00,2024-12-19T09:00:00,147753000.0,153299000.0,145000000.0,147474000.0,1734652799993,1266525021155.8596,8471.89272515,147754000.0,-280000.0,-0.0018950418
KRW-BTC,2024-12-18T00:00:00,2024-12-18T09:00:00,155222000.0,155949000.0,147189000.0,147754000.0,1734566399998,1309628152098.7222,8610.82270357,155223000.0,-7469000.0,-0.0481178691
KRW-BTC,2024-12-17T00:00:00,2024-12-17T09:00:00,153403000.0,157198000.0,152885000.0,155223000.0,1734479999982,958745671966.8221,6186.2803434,153403000.0,1820000.0,0.0118641748
KRW-BTC,2024-12-16T00:00:00,2024-12-16T09:00:00,149243000.0,154924000.0,149016000.0,153403000.0,1734393600028,1082807876503.8628,7128.61771091,149243000.0,4160000.0,0.0278740041
KRW-BTC,2024-12-15T00:00:00,2024-12-15T09:00:00,145927000.0,150000000.0,145684000.0,149243000.0,1734307199985,691840989089.0537,4680.01328552,145927000.0,3316000.0,0.0227236906
KRW-BTC,2024-12-14T00:00:00,2024-12-14T09:00:00,144432000.0,146051000.0,143973000.0,145927000.0,1734220799329,464300625877.87177,3195.75670317,144402000.0,1525000.0,0.0105607956
KRW-BTC,2024-12-13T00:00:00,2024-12-13T09:00:00,142780000.0,144865000.0,142001000.0,144402000.0,1734134399564,361979534829.5213,2524.28189889,142757000.0,1645000.0,0.0115230777
KRW-BTC,2024-12-12T00:00:00,2024-12-12T09:00:00,143111000.0,145000000.0,142000000.0,142757000.0,1734047999763,589232066932.0105,4109.65334521,143111000.0,-354000.0,-0.0024736044
KRW-BTC,2024-12-11T00:00:00,2024-12-11T09:00:00,138205000.0,144276000.0,136500000.0,143111000.0,1733961599962,813102473508.0792,5786.50262004,138205000.0,4906000.0,0.0354979921
KRW-BTC,2024-12-10T00:00:00,2024-12-10T09:00:00,138934000.0,140000000.0,135490000.0,138205000.0,1733875199696,789776192066.2788,5715.11068532,138864000.0,-659000.0,-0.0047456504
KRW-BTC,2024-12-09T00:00:00,2024-12-09T09:00:00,141056000.0,141399000.0,135900000.0,138864000.0,1733788799730,865791701454.2142,6238.33236659,141005000.0,-2141000.0,-0.0151838587
KRW-BTC,2024-12-08T00:00:00,2024-12-08T09:00:00,138970000.0,141400000.0,138620000.0,141005000.0,1733702399769,359805956088.11163,2575.9253391,138960000.0,2045000.0,0.0147164652
KRW-BTC,2024-12-07T00:00:00,2024-12-07T09:00:00,139402000.0,140411000.0,137698000.0,138960000.0,1733615999694,367591447543.71985,2646.58094433,139340000.0,-380000.0,-0.0027271422
KRW-BTC,2024-12-06T00:00:00,2024-12-06T09:00:00,137501000.0,141502000.0,136000000.0,139340000.0,1733529599985,854124438187.2275,6179.75810181,137501000.0,1839000.0,0.0133744482
KRW-BTC,2024-12-05T00:00:00,2024-12-05T09:00:00,138765000.0,146100000.0,134000000.0,137501000.0,1733443200001,1924495041794.7664,13579.28987411,138760000.0,-1259000.0,-0.0090732199
KRW-BTC,2024-12-04T00:00:00,2024-12-04T09:00:00,133720000.0,139920000.0,133499000.0,138760000.0,1733356800018,948860236172.9866,6969.87081198,133700000.0,5060000.0,0.0378459237
KRW-BTC,2024-12-03T00:00:00,2024-12-03T09:00:00,133523000.0,134680000.0,88266000.0,133700000.0,1733270399967,2304644374164.456,18097.08425608,133535000.0,165000.0,0.0012356311
KRW-BTC,2024-12-02T00:00:00,2024-12-02T09:00:00,133802000.0,135800000.0,132260000.0,133535000.0,1733183999993,718060616005.2106,5356.7748251,133802000.0,-267000.0,-0.0019954859
KRW-BTC,2024-12-01T00:00:00,2024-12-01T09:00:00,133722000.0,135199000.0,133297000.0,133802000.0,1733097599734,380928725281.3921,2835.14649803,133701000.0,101000.0,0.0007554169
